Name,Date1,Date2,Platform,Mode,Orbit,RelativeOrbit,PolyFrame,OrbitDirection,ProcessingLevel,Polarisation1,Polarisation2,Polarisation3,Polarisation4,Server,Url,Status,SizeMB,Stored,Processed
S1A_IW_SLC__1SDV_20211002T145309_20211002T145337_039941_04BA0F_C4E3.zip,2021-10-02T14:53:09.714Z,2021-10-02T14:53:37.598Z,S1A,IW,39941,144,"POLYGON ((54.084431 -22.967699, 56.496498 -22.397976, 56.037399 -20.730753, 53.65506 -21.291533, 54.084431 -22.967699))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/fe7990f4-c542-5fbb-92b1-c7a390fb79c5,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210920T145309_20210920T145337_039766_04B401_FBCD.zip,2021-09-20T14:53:09.382Z,2021-09-20T14:53:37.274Z,S1A,IW,39766,144,"POLYGON ((54.084774 -22.967957, 56.496891 -22.398251, 56.037685 -20.730536, 53.655308 -21.291296, 54.084774 -22.967957))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/c3558039-38bd-525a-807f-8a2941cfa00e,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210908T145308_20210908T145336_039591_04AE10_0AFC.zip,2021-09-08T14:53:08.997Z,2021-09-08T14:53:36.864Z,S1A,IW,39591,144,"POLYGON ((54.08424 -22.967533, 56.496525 -22.397772, 56.037712 -20.731544, 53.655148 -21.292368, 54.08424 -22.967533))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/8bc22593-ee8f-5145-9b75-16a074d04587,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210827T145308_20210827T145336_039416_04A800_1F81.zip,2021-08-27T14:53:08.396Z,2021-08-27T14:53:36.280Z,S1A,IW,39416,144,"POLYGON ((54.084126 -22.967731, 56.496361 -22.397966, 56.037273 -20.730753, 53.65477 -21.291574, 54.084126 -22.967731))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/41e7b390-3bf9-55b9-a980-6bd6ef52bbec,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210815T145307_20210815T145335_039241_04A201_9F4D.zip,2021-08-15T14:53:07.745Z,2021-08-15T14:53:35.626Z,S1A,IW,39241,144,"POLYGON ((54.084431 -22.968134, 56.496658 -22.398382, 56.037609 -20.731289, 53.655117 -21.292097, 54.084431 -22.968134))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/c6e5830a-585e-5aa7-960c-b7b1a175f891,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210803T145307_20210803T145335_039066_049C04_FB62.zip,2021-08-03T14:53:07.192Z,2021-08-03T14:53:35.079Z,S1A,IW,39066,144,"POLYGON ((54.084404 -22.968906, 56.496632 -22.399158, 56.037483 -20.731695, 53.654995 -21.292498, 54.084404 -22.968906))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/7ff82382-0603-5c54-9ec1-0bbc70586384,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210722T145306_20210722T145334_038891_0496D2_27A4.zip,2021-07-22T14:53:06.425Z,2021-07-22T14:53:34.307Z,S1A,IW,38891,144,"POLYGON ((54.084297 -22.968142, 56.496559 -22.398405, 56.037533 -20.731312, 53.655006 -21.292105, 54.084297 -22.968142))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/9bf613f2-2548-5eef-91c9-825134135cfb,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210710T145305_20210710T145333_038716_049195_655F.zip,2021-07-10T14:53:05.700Z,2021-07-10T14:53:33.578Z,S1A,IW,38716,144,"POLYGON ((54.083878 -22.968494, 56.496235 -22.398756, 56.037285 -20.731913, 53.654659 -21.292709, 54.083878 -22.968494))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/9111eca8-4b71-597b-990a-593628d9c097,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210628T145305_20210628T145332_038541_048C53_92B7.zip,2021-06-28T14:53:05.041Z,2021-06-28T14:53:32.925Z,S1A,IW,38541,144,"POLYGON ((54.084675 -22.968582, 56.496918 -22.398838, 56.037842 -20.731621, 53.655334 -21.292421, 54.084675 -22.968582))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/776a577a-3531-57bd-aa7e-eec1cc92d6de,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210616T145304_20210616T145332_038366_04870F_37FB.zip,2021-06-16T14:53:04.393Z,2021-06-16T14:53:32.279Z,S1A,IW,38366,144,"POLYGON ((54.084068 -22.968456, 56.496399 -22.398666, 56.03727 -20.731339, 53.654675 -21.292187, 54.084068 -22.968456))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/98c36ceb-8bbe-5112-b09a-1e60c68f21b0,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210604T145303_20210604T145331_038191_0481E0_9E3A.zip,2021-06-04T14:53:03.500Z,2021-06-04T14:53:31.386Z,S1A,IW,38191,144,"POLYGON ((54.084831 -22.968128, 56.497017 -22.398361, 56.037884 -20.731024, 53.655437 -21.291845, 54.084831 -22.968128))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/53c125bf-514c-57c8-a35e-823f5b77fb0f,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210523T145302_20210523T145330_038016_047CA5_230D.zip,2021-05-23T14:53:02.793Z,2021-05-23T14:53:30.683Z,S1A,IW,38016,144,"POLYGON ((54.084232 -22.96903, 56.496498 -22.399279, 56.037319 -20.731695, 53.6548 -21.292498, 54.084232 -22.96903))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/28959805-4717-5ed1-8b1f-31ef18613a51,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210511T145302_20210511T145330_037841_04775D_9332.zip,2021-05-11T14:53:02.196Z,2021-05-11T14:53:30.092Z,S1A,IW,37841,144,"POLYGON ((54.083836 -22.969126, 56.496128 -22.399397, 56.036869 -20.731443, 53.654327 -21.292223, 54.083836 -22.969126))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/1103964a-0cb7-5c85-b1a4-8af5cd59a03e,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210429T145301_20210429T145329_037666_0471A9_6332.zip,2021-04-29T14:53:01.423Z,2021-04-29T14:53:29.307Z,S1A,IW,37666,144,"POLYGON ((54.084892 -22.968012, 56.497215 -22.39827, 56.038158 -20.731058, 53.655575 -21.291855, 54.084892 -22.968012))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/44dccce6-cd77-5f09-9dcc-f22c7e498c9d,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210417T145301_20210417T145328_037491_046B90_3911.zip,2021-04-17T14:53:01.097Z,2021-04-17T14:53:28.985Z,S1A,IW,37491,144,"POLYGON ((54.084881 -22.96925, 56.497215 -22.399445, 56.03804 -20.731995, 53.655449 -21.292852, 54.084881 -22.96925))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/b436e48a-99a8-54c6-a00d-cdb4f4bbc686,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210405T145300_20210405T145328_037316_04658A_EB50.zip,2021-04-05T14:53:00.597Z,2021-04-05T14:53:28.489Z,S1A,IW,37316,144,"POLYGON ((54.084251 -22.968489, 56.496742 -22.398666, 56.037521 -20.73098, 53.654774 -21.291855, 54.084251 -22.968489))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/39af3fee-f841-581f-b656-650ae2a381cc,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210324T145300_20210324T145328_037141_045F7D_AEF8.zip,2021-03-24T14:53:00.300Z,2021-03-24T14:53:28.192Z,S1A,IW,37141,144,"POLYGON ((54.08432 -22.968834, 56.496696 -22.399044, 56.037468 -20.731352, 53.654835 -21.292194, 54.08432 -22.968834))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/c16866ed-d39e-5126-b22f-0f700fdb57b8,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210312T145300_20210312T145327_036966_04596D_8B5F.zip,2021-03-12T14:53:00.066Z,2021-03-12T14:53:27.956Z,S1A,IW,36966,144,"POLYGON ((54.083885 -22.968592, 56.496193 -22.398851, 56.037018 -20.73127, 53.654442 -21.292067, 54.083885 -22.968592))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/b8e54be4-2be7-58ed-a82c-a17a821bf2d6,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210228T145259_20210228T145327_036791_045354_5F6B.zip,2021-02-28T14:52:59.993Z,2021-02-28T14:53:27.880Z,S1A,IW,36791,144,"POLYGON ((54.084122 -22.968464, 56.496357 -22.398726, 56.037201 -20.731268, 53.65469 -21.292063, 54.084122 -22.968464))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/9a13186e-ecbc-5eec-9222-547fd124182e,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210216T145300_20210216T145327_036616_044D3F_7F74.zip,2021-02-16T14:53:00.088Z,2021-02-16T14:53:27.974Z,S1A,IW,36616,144,"POLYGON ((54.084846 -22.967667, 56.496883 -22.397943, 56.037735 -20.730602, 53.655418 -21.291384, 54.084846 -22.967667))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/219fed06-e753-5f05-a845-ce2aacc72ea4,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20210204T145300_20210204T145328_036441_04471F_01E8.zip,2021-02-04T14:53:00.485Z,2021-02-04T14:53:28.370Z,S1A,IW,36441,144,"POLYGON ((54.085205 -22.967743, 56.497223 -22.398018, 56.038067 -20.730675, 53.655766 -21.291458, 54.085205 -22.967743))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/ba52fd80-3227-5fd2-a34e-3db1dbe9cea6,ONLINE,0.0,False,False
